Date,Open,High,Low,Close,Volume Traded,Value Traded (SAR),Number of Trades,Sector,Month,Quarter,Daily_Return_Pct
2025-12-31,4505.39,4547.06,4498.09,4545.15,9043646,202562018.75,17018,Energy,2025-12,2025Q4,
2025-12-30,4522.18,4522.21,4483.94,4505.1,9843572,221238516.62,23313,Energy,2025-12,2025Q4,-0.8811590376555101
2025-12-29,4487.48,4523.98,4467.1,4522.38,7449483,172195960.22,22746,Energy,2025-12,2025Q4,0.38356529266829753
2025-12-28,4521.35,4526.49,4484.07,4486.66,10556348,247697636.79,23880,Energy,2025-12,2025Q4,-0.7898495924712257
2025-12-25,4532.88,4541.1,4512.23,4521.44,5843557,135530478.93,13063,Energy,2025-12,2025Q4,0.7751868873504986
2025-12-24,4539.63,4545.32,4510.41,4533.01,10307267,237008901.48,16812,Energy,2025-12,2025Q4,0.2558919282352745
2025-12-23,4534.73,4545.38,4503.04,4536.02,12208738,269489527.15,19127,Energy,2025-12,2025Q4,0.06640179483390352
2025-12-22,4548.79,4550.45,4503.88,4534.27,17657464,397609648.36,19980,Energy,2025-12,2025Q4,-0.038580076807426256
2025-12-21,4562.31,4562.31,4524.15,4549.12,10673719,244445907.79,17585,Energy,2025-12,2025Q4,0.32750586092136214
2025-12-18,4503.4,4529.39,4500.87,4515.68,21035519,499218564.03,23791,Energy,2025-12,2025Q4,-0.7350872256612129
2025-12-17,4529.53,4541.31,4496.96,4503.01,17339704,414674285.98,30546,Energy,2025-12,2025Q4,-0.2805778974595219
2025-12-16,4577.2,4582.12,4520.99,4530.19,17577260,417340899.85,27945,Energy,2025-12,2025Q4,0.6035962611675272
2025-12-15,4555.42,4579.54,4538.33,4576.95,14650729,350877654.44,25520,Energy,2025-12,2025Q4,1.0321862879923316
2025-12-14,4561.58,4569.62,4547.7,4556.36,12128946,266584232.39,22611,Energy,2025-12,2025Q4,-0.4498628999661358
2025-12-11,4641.28,4643.32,4561.91,4561.91,18266231,418302824.21,34823,Energy,2025-12,2025Q4,0.12180775882502104
2025-12-10,4644.8,4647.19,4628.05,4641.18,8393769,187913294.73,19268,Energy,2025-12,2025Q4,1.7376493617804911
2025-12-09,4637.91,4644.72,4627.0,4644.72,10932406,235745684.75,19272,Energy,2025-12,2025Q4,0.07627370625573615
