Date,Open,High,Low,Close,Volume Traded,Value Traded (SAR),Number of Trades,Index,Month,Quarter,Daily_Return_Pct
2025-12-31,10393.18,10501.22,10391.14,10490.69,152221340.0,3203957638.2,316357.0,Tadwul All Share Index (TASI),2025-12,2025Q4,
2025-12-30,10460.3,10468.34,10339.14,10381.51,166559458.0,3187374251.85,380466.0,Tadwul All Share Index (TASI),2025-12,2025Q4,-1.0407323064545837
2025-12-29,10423.15,10489.65,10384.37,10489.65,143996906.0,2633425618.96,331567.0,Tadwul All Share Index (TASI),2025-12,2025Q4,1.0416596429613678
2025-12-28,10526.99,10528.27,10415.99,10416.65,136995853.0,2398317716.45,317172.0,Tadwul All Share Index (TASI),2025-12,2025Q4,-0.6959240775430975
2025-12-25,10534.25,10553.19,10514.98,10526.09,80937622.0,1657737908.57,210084.0,Tadwul All Share Index (TASI),2025-12,2025Q4,1.0506256810010939
2025-12-24,10601.08,10602.75,10521.68,10540.72,125034946.0,2723475568.07,305346.0,Tadwul All Share Index (TASI),2025-12,2025Q4,0.13898798129219347
2025-12-23,10543.7,10596.38,10528.2,10595.85,164696860.0,3393010093.45,336514.0,Tadwul All Share Index (TASI),2025-12,2025Q4,0.5230193003893602
2025-12-22,10492.14,10552.26,10449.01,10552.26,186755423.0,3493735054.96,370303.0,Tadwul All Share Index (TASI),2025-12,2025Q4,-0.41138747717266444
2025-12-21,10488.63,10562.14,10472.88,10484.59,128378596.0,2592028067.83,296851.0,Tadwul All Share Index (TASI),2025-12,2025Q4,-0.6412844262745576
2025-12-18,10425.98,10461.73,10382.99,10450.27,216035309.0,5871331748.79,404658.0,Tadwul All Share Index (TASI),2025-12,2025Q4,-0.32733754968005124
2025-12-17,10431.93,10444.9,10376.54,10414.06,152476913.0,3469428770.55,346516.0,Tadwul All Share Index (TASI),2025-12,2025Q4,-0.3464982244477999
2025-12-16,10600.67,10609.02,10449.62,10452.91,157673737.0,3625507855.04,390798.0,Tadwul All Share Index (TASI),2025-12,2025Q4,0.37305335287103336
2025-12-15,10573.38,10594.94,10504.53,10590.17,153637097.0,3142185760.51,381149.0,Tadwul All Share Index (TASI),2025-12,2025Q4,1.3131271578919135
2025-12-14,10696.75,10697.54,10582.19,10588.83,143795259.0,2573214376.75,313391.0,Tadwul All Share Index (TASI),2025-12,2025Q4,-0.012653243526783431
2025-12-11,10753.61,10755.12,10688.74,10715.98,162782867.0,3365250472.91,355110.0,Tadwul All Share Index (TASI),2025-12,2025Q4,1.200793666533495
2025-12-10,10710.18,10742.86,10700.12,10726.16,152899988.0,3438153889.13,348897.0,Tadwul All Share Index (TASI),2025-12,2025Q4,0.09499831093375821
2025-12-09,10613.24,10699.79,10610.04,10699.79,177040162.0,4032998501.74,368710.0,Tadwul All Share Index (TASI),2025-12,2025Q4,-0.24584753537145732
2025-12-08,10633.37,10640.97,10574.86,10625.5,163768213.0,3423436826.07,354220.0,Tadwul All Share Index (TASI),2025-12,2025Q4,-0.6943126921182596
